MAT_NO,PONO,SAMPLE_POS_CODE,THICK_ZN,TOP_YS_N,RP02_N,YP_JUDGE,BREAK_EL_N,AGT_EL_N,N_VALUE_90_N,N_VALUE_AVG_N,REC_REVISE_TIME,SLAB_NO,SM_PRODTIME,HR_COIL_NO,HR_PRODTIME,STD_VERSION,ORDER_THICK,PROD_THICK,ORDER_WIDTH,PROD_WIDTH,ORDER_LEN_MIN,PROD_LEN,ORDER_WT,SORT_GRADE_CODE_F,DELIVERY_DATE_IN,SAMPLE_SHAPE_CODE,ELM_C,ELM_SI,ELM_MN,ELM_P,ELM_S,ELM_AL,ELM_NB,ELM_TI,ELM_B,ELM_CU,ELM_NI,ELM_CR,ELM_MO,ELM_V,ELM_N,ELM_O,ELM_H,EXCESS_C,CC_NO,CAST_NO,TD_NO,DESIGN_DISCH_TEMP_AIM,DESIGN_DISCH_TEMP_MIN,DESIGN_DISCH_TEMP_MAX,DESIGN_FM_TEMP_AIM,DESIGN_FM_TEMP_MIN,DESIGN_FM_TEMP_MAX,DESIGN_CT_TEMP_AIM,DESIGN_CT_TEMP_MIN,DESIGN_CT_TEMP_MAX,HR_PLAN_NO,FUR_NO_HR,CHARGE_TEMP,DISCH_TEMP,IN_FURNACE_TIME,ROUGH_TEMP_AVE,ROUGH_TEMP_MAX,ROUGH_TEMP_MIN,FM_TEMP_AVE,FM_TEMP_MAX,FM_TEMP_MIN,CT_TEMP_AVE,CT_TEMP_MAX,CT_TEMP_MIN,SAMP_FM_TEMP_AVE,SAMP_FM_TEMP_MAX,SAMP_FM_TEMP_MIN,SAMP_FM_TEMP_RANGE,HR_THICK,SP_EXIT_MAT_NO,HR_START_POS,HR_END_POS,ELM_CA_ACT,ELM_SN_ACT,ELM_AS_ACT,ELM_SB_ACT,ELM_PB_ACT,ELM_C_SLAB,ELM_SI_SLAB,ELM_MN_SLAB,ELM_P_SLAB,ELM_S_SLAB,ELM_ALT_SLAB,ELM_NB_SLAB,ELM_TI_SLAB,ELM_V_SLAB,ELM_CU_SLAB,ELM_NI_SLAB,ELM_CR_SLAB,ELM_MO_SLAB,ELM_B_SLAB,ELM_N_SLAB,ELM_O_SLAB,ELM_H_SLAB,EXCESS_C_SLAB,ELM_CA_SLAB,ELM_SN_SLAB,ELM_AS_SLAB,ELM_SB_SLAB,ELM_PB_SLAB,CEQ_calculated,thickness_ratio,ct_temp_deviation,fm_temp_deviation,ELM_C^2,ELM_C ELM_MN,ELM_C ELM_SI,ELM_C FM_TEMP_AVE,ELM_C CT_TEMP_AVE,ELM_MN^2,ELM_MN ELM_SI,ELM_MN FM_TEMP_AVE,ELM_MN CT_TEMP_AVE,ELM_SI^2,ELM_SI FM_TEMP_AVE,ELM_SI CT_TEMP_AVE,FM_TEMP_AVE^2,FM_TEMP_AVE CT_TEMP_AVE,CT_TEMP_AVE^2
112320203200,15168087,0,3.246,430,0,430,40.0,18.4,0.0,0.0,20250427131851,1516808715400,20250418095212,112320203200,20250425071719,2017,3.0,3.0,1500,1500,0,0,522.0,1,20250430,1,0.0553,0.011,0.445,0.018,0.0055,0.0252,0.0141,0.0014,0.0,0.011,0.011,0.035,0.007,0.0006,0.0034,0.0,0.0,0.05348,178079,12688,21,1200,1160,1240,860,830,890,630,600,660,123202,4,79,1227,195,997,1010,955,867.0,889,694,633.0,648,589,850.687,864.0,846.0,18.0,3.02,112320203200,-15.0,15.0,0.0006,0.001,0.004,0.001,0.0012,0.0553,0.011,0.445,0.018,0.0055,0.0252,0.0141,0.0014,0.0006,0.011,0.011,0.035,0.007,0.0,0.0034,0.0,0.0,0.05348,0.0006,0.001,0.004,0.001,0.0012,0.12946666666666667,0.9999996666667778,1.0047619031670445,1.0081395337114656,0.0030580900000000003,0.024608500000000002,0.0006083,47.945100000000004,35.0049,0.198025,0.004895,385.815,281.685,0.00012099999999999999,9.536999999999999,6.962999999999999,751689.0,548811.0,400689.0
15121590001,15246757,9,0.0,0,350,350,28.5,14.0,0.0,0.0,20250429143437,1524675740400,20250327102143,139833272000,20250408112940,2007,4.99,4.99,1250,1250,0,0,150.0,3,20250430,2,0.0773,0.04,1.32,0.0125,0.0078,0.0311,0.0003,0.0008,0.0001,0.011,0.005,0.014,0.002,0.0002,0.0045,0.0,0.0,0.07726,437045,46798,9,1170,1140,1200,850,820,880,560,530,590,398332,2,20,1212,207,1074,1083,1063,858.0,868,843,562.0,591,546,857.3,866.0,832.0,34.0,5.06,15121590002,-14.96333983,14.963339832,0.0001,0.004,0.0025,0.0,0.0004,0.0773,0.04,1.32,0.0125,0.0078,0.0311,0.0003,0.0008,0.0002,0.011,0.005,0.014,0.002,0.0001,0.0045,0.0,0.0,0.07726,0.0001,0.004,0.0025,0.0,0.0004,0.2973,0.9999997995992386,1.0035714267793368,1.009411763518339,0.005975289999999999,0.102036,0.0030919999999999997,66.32339999999999,43.4426,1.7424000000000002,0.05280000000000001,1132.56,741.84,0.0016,34.32,22.48,736164.0,482196.0,315844.0
139794070200,15166323,0,4.932,371,0,371,36.0,16.4,0.0,0.0,20250401142259,1516632315400,20250307032402,139794070200,20250331055021,2017,4.95,4.9,1500,1500,0,0,100.0,1,20250430,2,0.149,0.049,0.22,0.0155,0.0084,0.0231,0.0005,0.0014,0.0,0.012,0.008,0.02,0.003,0.0003,0.0031,0.0,0.0,0.14893,177929,12659,16,1190,1150,1230,850,820,880,600,570,630,397938,3,20,1199,195,1028,1039,1015,850.0,869,838,608.0,635,588,865.488,878.0,824.0,54.0,4.92,139794070200,-15.0,15.0,0.0006,0.002,0.004,0.0008,0.0007,0.149,0.049,0.22,0.0155,0.0084,0.0231,0.0005,0.0014,0.0003,0.012,0.008,0.02,0.003,0.0,0.0031,0.0,0.0,0.14893,0.0006,0.002,0.004,0.0008,0.0007,0.18566666666666665,0.9898987899194364,1.0133333316444444,0.9999999988235294,0.022201,0.03278,0.007301,126.64999999999999,90.592,0.0484,0.01078,187.0,133.76,0.0024010000000000004,41.65,29.792,722500.0,516800.0,369664.0
15121589801,15246757,9,0.0,0,339,339,30.8,14.4,0.0,0.0,20250429143437,1524675740500,20250327103109,139833271800,20250408112608,2007,4.99,4.99,1250,1250,0,0,150.0,3,20250430,2,0.0773,0.04,1.32,0.0125,0.0078,0.0311,0.0003,0.0008,0.0001,0.011,0.005,0.014,0.002,0.0002,0.0045,0.0,0.0,0.07726,437045,46798,9,1170,1140,1200,850,820,880,560,530,590,398332,4,20,1209,205,1069,1082,1049,857.0,870,833,567.0,596,502,847.04,856.0,818.0,38.0,5.06,15121589802,-15.0,15.0,0.0001,0.004,0.0025,0.0,0.0004,0.0773,0.04,1.32,0.0125,0.0078,0.0311,0.0003,0.0008,0.0002,0.011,0.005,0.014,0.002,0.0001,0.0045,0.0,0.0,0.07726,0.0001,0.004,0.0025,0.0,0.0004,0.2973,0.9999997995992386,1.0124999981919642,1.008235292931488,0.005975289999999999,0.102036,0.0030919999999999997,66.2461,43.8291,1.7424000000000002,0.05280000000000001,1131.24,748.44,0.0016,34.28,22.68,734449.0,485919.0,321489.0
139796771300,15244137,0,2.907,329,0,329,49.0,18.5,0.0,0.0,20250401165045,1524413740500,20250223151453,139796771300,20250331142917,2017,2.75,2.75,1500,1500,0,0,100.0,1,20250331,1,0.0812,0.01,0.595,0.0177,0.004,0.0269,0.0003,0.0001,0.0,0.01,0.005,0.015,0.001,0.0002,0.0029,0.0014,0.0,0.08116,436339,46724,9,1200,1170,1230,850,820,880,550,520,580,397958,2,20,1222,249,1055,1069,1039,853.0,863,844,554.0,573,524,848.285,862.0,812.0,50.0,2.78,139796771300,-15.0,15.0,0.0002,0.005,0.0026,0.0,0.0001,0.0812,0.01,0.595,0.0177,0.004,0.0269,0.0003,0.0001,0.0002,0.01,0.005,0.015,0.001,0.0,0.0029,0.0014,0.0,0.08116,0.0002,0.005,0.0026,0.0,0.0001,0.18036666666666668,0.9999996363637685,1.0072727254413223,1.003529410584083,0.006593439999999999,0.048313999999999996,0.000812,69.2636,44.9848,0.354025,0.0059499999999999996,507.53499999999997,329.63,0.0001,8.53,5.54,727609.0,472562.0,306916.0
139796770700,15244244,0,3.06,377,0,377,43.0,18.6,0.0,0.0,20250401165049,1524424440100,20250225114937,139796770700,20250331141845,2017,3.0,3.0,1500,1500,0,0,100.0,1,20250331,1,0.0723,0.006,0.596,0.0147,0.004,0.0244,0.0014,0.0003,0.0001,0.01,0.005,0.016,0.001,0.0001,0.0035,0.0013,0.0,0.07211,436385,46726,1,1200,1170,1230,850,820,880,550,520,580,397958,4,20,1222,249,1066,1078,1052,857.0,867,847,549.0,562,526,856.866,869.0,836.0,33.0,3.03,139796770700,-15.0,15.0,0.0001,0.003,0.0026,0.0,0.0002,0.0723,0.006,0.596,0.0147,0.004,0.0244,0.0014,0.0003,0.0001,0.01,0.005,0.016,0.001,0.0001,0.0035,0.0013,0.0,0.07211,0.0001,0.003,0.0026,0.0,0.0002,0.17163333333333333,0.9999996666667778,0.9981818163669421,1.008235292931488,0.005227290000000001,0.0430908,0.00043380000000000003,61.9611,39.6927,0.355216,0.0035759999999999998,510.772,327.204,3.6e-05,5.142,3.294,734449.0,470493.0,301401.0
1125006206,15163063,0,5.897,338,0,338,26.0,16.7,0.0,0.0,20250413153634,1516306315300,20250118004618,139641571100,20250227231104,2017,6.0,5.95,1500,1500,8,8000,90.03,1,20250331,2,0.1703,0.05,0.268,0.0297,0.0145,0.014,0.0,0.0009,0.0,0.011,0.011,0.037,0.004,0.0011,0.0034,0.0,0.0,0.1703,176771,12533,7,1190,1150,1230,850,820,880,580,550,610,396415,1,20,1204,191,1023,1044,991,858.0,888,848,594.0,638,562,856.98,866.0,831.0,35.0,5.98,1125006206,353.866261358,386.133728578,0.0002,0.003,0.003,0.0,0.0,0.1703,0.05,0.268,0.0297,0.0145,0.014,0.0,0.0009,0.0011,0.011,0.011,0.037,0.004,0.0,0.0034,0.0,0.0,0.1703,0.0002,0.003,0.003,0.0,0.0,0.21496666666666667,0.9916665013889164,1.0241379292687278,1.009411763518339,0.02900209,0.045640400000000005,0.008515,146.1174,101.15820000000001,0.07182400000000001,0.013400000000000002,229.94400000000002,159.192,0.0025000000000000005,42.900000000000006,29.700000000000003,736164.0,509652.0,352836.0
15121590101,15248695,9,0.0,0,293,293,30.4,15.7,0.0,0.0,20250429143438,1524869540400,20250420175823,139900271500,20250422120342,2007,4.99,4.99,1250,1250,0,0,150.0,3,20250430,2,0.1585,0.006,0.364,0.0139,0.0079,0.0355,0.0003,0.0001,0.0,0.01,0.008,0.024,0.002,0.0002,0.0032,0.0,0.0,0.15846,437541,46870,8,1170,1140,1200,850,820,880,560,530,590,399002,2,20,1204,274,1049,1059,1032,849.0,871,840,564.0,596,546,862.306,871.0,812.0,59.0,5.06,15121590101,-15.61766297,15.617662968,0.0003,0.002,0.0023,0.0,0.001,0.1585,0.006,0.364,0.0139,0.0079,0.0355,0.0003,0.0001,0.0002,0.01,0.008,0.024,0.002,0.0,0.0032,0.0,0.0,0.15846,0.0003,0.002,0.0023,0.0,0.001,0.21916666666666668,0.9999997995992386,1.0071428553443877,0.9988235282366782,0.025122250000000002,0.057694,0.000951,134.5665,89.394,0.132496,0.002184,309.036,205.296,3.6e-05,5.094,3.384,720801.0,478836.0,318096.0
139895875600,14161296,0,2.387,387,0,387,39.0,15.6,0.0,0.0,20250422225257,1416129615100,20241221025953,139895875600,20250421123011,2017,2.0,2.0,1200,1200,0,0,19.0,1,20250423,1,0.0786,0.004,1.314,0.0147,0.0041,0.0295,0.0008,0.0009,0.0001,0.009,0.013,0.017,0.006,0.0022,0.0027,0.0,0.0,0.07849,176084,12478,0,1200,1170,1230,860,830,890,640,610,670,398958,4,20,1249,259,1114,1132,1089,863.0,874,849,645.0,663,578,845.541,863.0,824.0,39.0,2.02,139895875600,-15.0,15.0,0.0002,0.002,0.003,0.0,0.0,0.0786,0.004,1.314,0.0147,0.0041,0.0295,0.0008,0.0009,0.0022,0.009,0.013,0.017,0.006,0.0001,0.0027,0.0,0.0,0.07849,0.0002,0.002,0.003,0.0,0.0,0.2976,0.99999950000025,1.007812498425293,1.0034883709261764,0.006177960000000001,0.10328040000000001,0.0003144,67.8318,50.697,1.7265960000000002,0.005256,1133.982,847.5300000000001,1.6e-05,3.452,2.58,744769.0,556635.0,416025.0
139840776100,15166493,0,3.215,423,0,423,33.0,14.1,0.0,0.0,20250411134612,1516649310700,20250308022936,139840776100,20250410011639,2017,3.0,3.0,1250,1250,0,0,240.0,1,20250430,1,0.0664,0.008,0.605,0.0177,0.0066,0.0389,0.0006,0.0019,0.0,0.014,0.009,0.025,0.008,0.0008,0.0025,0.0014,0.0,0.06632,177951,12661,18,1190,1150,1230,850,820,880,600,570,630,398407,4,20,1204,186,1060,1076,1034,860.0,874,846,601.0,616,559,852.703,865.0,826.0,39.0,3.03,139840776100,-15.0,15.0,0.0006,0.002,0.004,0.0006,0.0013,0.0664,0.008,0.605,0.0177,0.0066,0.0389,0.0006,0.0019,0.0008,0.014,0.009,0.025,0.008,0.0,0.0025,0.0014,0.0,0.06632,0.0006,0.002,0.004,0.0006,0.0013,0.16723333333333334,0.9999996666667778,1.0016666649972221,1.0117647046920415,0.00440896,0.040172,0.0005312,57.104,39.9064,0.366025,0.00484,520.3,363.60499999999996,6.4e-05,6.88,4.808,739600.0,516860.0,361201.0
139796671100,15165198,0,2.914,367,0,367,41.0,18.2,0.0,0.0,20250401162904,1516519810100,20250219033928,139796671100,20250331160257,2017,2.5,2.5,1150,1150,0,0,100.0,1,20250331,1,0.0698,0.006,0.575,0.015,0.0053,0.0289,0.0011,0.0008,0.0,0.009,0.008,0.027,0.008,0.0003,0.0032,0.0011,0.0,0.06965,177554,12615,20,1200,1170,1230,850,820,880,550,520,580,397958,1,20,1210,178,1056,1065,1043,851.0,860,832,553.0,585,482,849.26,859.0,822.0,39.0,2.52,139796671100,-15.0,15.0,0.0002,0.001,0.003,0.0007,0.0007,0.0698,0.006,0.575,0.015,0.0053,0.0289,0.0011,0.0008,0.0003,0.009,0.008,0.027,0.008,0.0,0.0032,0.0011,0.0,0.06965,0.0002,0.001,0.003,0.0007,0.0007,0.16563333333333333,0.99999960000016,1.0054545436264464,1.0011764694103806,0.00487204,0.040135,0.0004188,59.3998,38.5994,0.33062499999999995,0.00345,489.325,317.97499999999997,3.6e-05,5.106,3.318,724201.0,470603.0,305809.0
139913270100,15248695,0,5.015,361,0,361,33.0,16.9,0.0,0.0,20250427085042,1524869545600,20250420181008,139913270100,20250425034425,2017,4.95,4.9,1500,1500,0,0,60.0,1,20250531,2,0.1585,0.006,0.364,0.0139,0.0079,0.0355,0.0003,0.0001,0.0,0.01,0.008,0.024,0.002,0.0002,0.0032,0.0,0.0,0.15846,437541,46870,8,1200,1160,1240,860,830,890,600,570,630,399124,1,20,1208,255,1047,1059,1027,863.0,879,854,602.0,623,588,866.414,876.0,839.0,37.0,4.92,139913270100,-15.0,15.0,0.0003,0.002,0.0023,0.0,0.001,0.1585,0.006,0.364,0.0139,0.0079,0.0355,0.0003,0.0001,0.0002,0.01,0.008,0.024,0.002,0.0,0.0032,0.0,0.0,0.15846,0.0003,0.002,0.0023,0.0,0.001,0.21916666666666668,0.9898987899194364,1.003333331661111,1.0034883709261764,0.025122250000000002,0.057694,0.000951,136.7855,95.417,0.132496,0.002184,314.132,219.128,3.6e-05,5.178,3.612,744769.0,519526.0,362404.0
139796670300,15166465,0,2.513,404,0,404,37.0,18.2,0.0,0.0,20250401162901,1516646510500,20250309044919,139796670300,20250331154148,2017,2.0,2.0,1250,1250,0,0,100.0,1,20250331,1,0.0947,0.041,1.285,0.0148,0.0016,0.0259,0.0015,0.0037,0.0002,0.012,0.015,0.034,0.012,0.0022,0.0035,0.0022,0.00018,0.0945,177978,12664,17,1200,1170,1230,850,820,880,550,520,580,397958,4,20,1208,176,1043,1057,1030,850.0,865,811,614.0,630,532,849.26,859.0,822.0,39.0,2.02,139796670300,-15.0,15.0,0.0006,0.001,0.004,0.0001,0.0021,0.0947,0.041,1.285,0.0148,0.0016,0.0259,0.0015,0.0037,0.0022,0.012,0.015,0.034,0.012,0.0002,0.0035,0.0022,0.00018,0.0945,0.0006,0.001,0.004,0.0001,0.0021,0.3088666666666666,0.99999950000025,1.1163636343338843,0.9999999988235294,0.008968090000000001,0.1216895,0.0038827,80.495,58.1458,1.6512249999999997,0.052684999999999996,1092.25,788.9899999999999,0.0016810000000000002,34.85,25.174,722500.0,521900.0,376996.0
139819574300,15243768,0,3.01,370,0,370,43.0,17.2,0.0,0.0,20250408012333,1524376845100,20250219201143,139819574300,20250405030957,2017,3.0,3.0,1250,1250,0,0,240.0,1,20250430,1,0.0746,0.01,0.595,0.0148,0.0026,0.1059,0.0008,0.0004,0.0,0.009,0.005,0.013,0.0,0.0001,0.0049,0.0008,0.00018,0.07449,436279,46715,10,1190,1150,1230,850,820,880,600,570,630,398187,1,20,1217,236,1074,1083,1059,849.0,857,833,599.0,626,582,832.733,846.0,817.0,29.0,3.03,139819574300,-15.0,15.0,0.0003,0.002,0.0024,0.0,0.0001,0.0746,0.01,0.595,0.0148,0.0026,0.1059,0.0008,0.0004,0.0001,0.009,0.005,0.013,0.0,0.0,0.0049,0.0008,0.00018,0.07449,0.0003,0.002,0.0024,0.0,0.0001,0.17376666666666668,0.9999996666667778,0.9983333316694445,0.9988235282366782,0.0055651599999999996,0.044386999999999996,0.000746,63.3354,44.6854,0.354025,0.0059499999999999996,505.155,356.405,0.0001,8.49,5.99,720801.0,508551.0,358801.0
139796773400,15166462,0,2.897,390,0,390,42.0,17.9,0.0,0.0,20250401162907,1516646210100,20250309014835,139796773400,20250331152041,2017,2.5,2.5,1300,1300,0,0,100.0,1,20250331,1,0.1041,0.039,1.258,0.0126,0.0016,0.0243,0.0014,0.0035,0.0004,0.012,0.014,0.028,0.01,0.0019,0.0032,0.0022,0.00013,0.10391,177975,12664,17,1200,1170,1230,850,820,880,550,520,580,397958,3,20,1201,179,1029,1059,1008,862.0,878,847,614.0,642,593,849.26,859.0,822.0,39.0,2.52,139796773400,-15.0,15.0,0.0007,0.002,0.0047,0.0001,0.0022,0.1041,0.039,1.258,0.0126,0.0016,0.0243,0.0014,0.0035,0.0019,0.012,0.014,0.028,0.01,0.0004,0.0032,0.0022,0.00013,0.10391,0.0007,0.002,0.0047,0.0001,0.0022,0.31376666666666664,0.99999960000016,1.1163636343338843,1.014117645865744,0.010836809999999999,0.13095779999999999,0.0040599,89.7342,63.9174,1.582564,0.049062,1084.396,772.412,0.001521,33.618,23.946,743044.0,529268.0,376996.0
139815570200,15165154,0,4.634,345,0,345,29.0,17.8,0.0,0.0,20250405120602,1516515415100,20250218174747,139815570200,20250404040403,2017,4.5,4.5,1250,1250,0,0,96.0,1,20250430,2,0.0773,0.008,0.567,0.0168,0.0073,0.034,0.0003,0.0013,0.0,0.007,0.006,0.02,0.009,0.0003,0.0024,0.002,0.0,0.07726,177543,12615,16,1190,1150,1230,850,820,880,600,570,630,398141,4,208,1213,186,1080,1090,1065,853.0,871,820,593.0,607,556,837.79,847.0,803.0,44.0,4.53,139815570200,-15.0,15.0,0.0003,0.001,0.003,0.0009,0.0008,0.0773,0.008,0.567,0.0168,0.0073,0.034,0.0003,0.0013,0.0003,0.007,0.006,0.02,0.009,0.0,0.0024,0.002,0.0,0.07726,0.0003,0.001,0.003,0.0009,0.0008,0.17179999999999998,0.9999997777778271,0.9883333316861111,1.003529410584083,0.005975289999999999,0.043829099999999996,0.0006184,65.9369,45.838899999999995,0.32148899999999997,0.004536,483.65099999999995,336.231,6.4e-05,6.824,4.744,727609.0,505829.0,351649.0
139796671200,15162951,0,2.634,418,0,418,37.0,16.0,0.0,0.0,20250401225304,1516295115100,20250117154636,139796671200,20250331160426,2017,2.5,2.5,1150,1150,0,0,100.0,1,20250331,1,0.0698,0.008,1.284,0.0145,0.0047,0.0348,0.0025,0.0015,0.0001,0.009,0.006,0.03,0.003,0.0016,0.0032,0.0,0.0,0.06947,176762,12533,18,1200,1170,1230,850,820,880,550,520,580,397958,4,20,1205,177,1077,1092,1049,860.0,882,850,646.0,660,514,849.26,859.0,822.0,39.0,2.52,139796671200,-15.0,15.0,0.0002,0.001,0.004,0.0001,0.0016,0.0698,0.008,1.284,0.0145,0.0047,0.0348,0.0025,0.0015,0.0016,0.009,0.006,0.03,0.003,0.0001,0.0032,0.0,0.0,0.06947,0.0002,0.001,0.004,0.0001,0.0016,0.2838,0.99999960000016,1.1745454524099173,1.0117647046920415,0.00487204,0.0896232,0.0005584,60.028,45.0908,1.6486560000000001,0.010272,1104.24,829.464,6.4e-05,6.88,5.168,739600.0,555560.0,417316.0
